# English-French translations created from the Universal dictionary at 2011-05-28T05:42:42-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 barbare 	 adjective 
 bargain ; deal 	 marché 	 business 
 base ; base of operations 	 base 	 society 
 baseball ; baseball game 	 base-ball 	 sports 
 basic 	 fondamental 	 adjective 
 basket ; handbasket 	 panier 	 object 
 bath 	 bain 	 house 
 bathroom ; bath 	 salle de bains 	 house 
 be ; live 	 vivre 	 verb 
 beach 	 plage 	 nature 
 beak ; bill ; neb ; nib ; pecker 	 bec 	 anatomy 
 bear 	 ours 	 animal 
 bear 	 porter 	 verb 
 beat ; beat out ; crush ; shell ; trounce ; vanquish 	 vaincre 	 verb 
 beautiful 	 beau 	 adjective 
 because 	 car 	 conjunction 
 become ; go ; get 	 devenir 	 verb 
 bed 	 lit 	 house 
 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 chambre à coucher 	 house 
 bee 	 abeille 	 animal 
 beer 	 bière 	 food 
 beginning ; commencement ; first ; outset ; get-go ; start ; kickoff ; starting time ; showtime ; offset 	 début 	 abstract 
 beginning ; origin ; root ; rootage ; source 	 source 	 transport 
 behave ; acquit ; bear ; deport ; conduct ; comport ; carry 	 procéder 	 verb 
 behind 	 derrière 	 adverb 
 being ; beingness ; existence 	 existence 	 society 
 believe 	 croire 	 verb 
 bell 	 cloche 	 object 
 beloved ; dear ; dearest ; honey ; love 	 chérie 	 relations 
 bend ; curve 	 anse 	 transport 
 benefit ; do good 	 profiter 	 verb 
 besides ; too ; also ; likewise ; as well 	 aussi 	 adverb 
 bespeak ; betoken ; indicate ; point ; signal 	 indiquer 	 verb 
 best 	 meilleur 	 adjective 
 better 	 mieux 	 adjective 
 better 	 mieux 	 adverb 
 better ; improve ; amend ; ameliorate ; meliorate 	 améliorer 	 verb 
 between ; betwixt 	 entre 	 adverb 
 beverage ; drink ; drinkable ; potable 	 boisson 	 food 
 beyond 	 passée 	 adverb 
 bicycle ; bike ; wheel ; cycle 	 bicyclette 	 object 
 bill ; account ; invoice 	 facture 	 business 
 bill ; note ; government note ; bank bill ; banker's bill ; bank note ; banknote ; Federal Reserve note ; greenback 	 billet 	 business 
 biology ; biological science 	 biologie 	 science 
 bird 	 oiseau 	 animal 
 birth ; nativity ; nascency ; nascence 	 naissance 	 nature 
 birthday 	 anniversaire 	 family 
 bit ; chip ; flake ; fleck ; scrap 	 copeau 	 object 
 bite 	 morsure 	 medicine 
 bite ; seize with teeth 	 mordre 	 verb 
 bitter 	 amer 	 adjective 
 black 	 noir 	 adjective 
 blade 	 voilure 	 object 
 blessing ; approval ; approving 	 approbation 	 communication 
 blood 	 sang 	 anatomy 
 blow 	 coup 	 abstract 
 blue ; bluish ; blueish 	 bleu 	 color 
 blueprint ; design ; pattern 	 modèle 	 object 
 board 	 panneau 	 object 
 boat 	 bateau 	 object 
 bone ; os 	 os 	 anatomy 
 book ; volume 	 livre 	 object 
 boot 	 botte 	 clothes 
 boring ; deadening ; dull ; ho-hum ; irksome ; slow ; tedious ; tiresome ; wearisome 	 ennuyeux 	 adjective 
 both 	 l'un et l'autre 	 adjective 
 bottle 	 bouteille 	 food 
 box 	 cageot 	 object 
 boyfriend ; fellow ; beau ; swain ; young man 	 amant 	 family 
 brain ; encephalon 	 cerveau 	 anatomy 
 branch 	 branche 	 nature 
 brand ; make 	 marque 	 abstract 
 bread ; breadstuff ; staff of life 	 pain 	 food 
 break 	 rompre 	 verb 
 breakfast 	 déjeuner 	 food 
 breast ; chest 	 poitrine 	 anatomy 
 breath 	 souffle 	 anatomy 
 brick 	 brique 	 house 
 bridge ; span 	 pont 	 object 
 bright ; brilliant ; vivid 	 clair 	 adjective 
 bring ; convey ; take 	 apporter 	 verb 
 broken 	 cassé 	 adjective 
 brother ; blood brother 	 frère 	 family 
 brow ; forehead 	 front 	 anatomy 
 brown ; brownish ; chocolate-brown ; dark-brown 	 marron 	 color 
 brush 	 brosse 	 object 
