# Russian-French translations created from the Universal dictionary at 2011-08-27T09:42:49-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 дверь ; створка 	 porte 	 house 
 двигатель 	 moteur 	 device 
 двигать 	 bouger 	 verb 
 движение 	 mouvement 	 physics 
 движение 	 mouvement 	 physics 
 девочка ; поклонница 	 copine 	 family 
 девушка ; девочка 	 mademoiselle 	 family 
 девяносто 	 quatre-vingt-dix 	 number 
 девятнадцать 	 dix-neuf 	 number 
 девятый 	 neuvième 	 number 
 девять 	 neuf 	 number 
 дедушка 	 grand-père 	 family 
 действие 	 fonctionnement 	 mathematics 
 действительно 	 réellement 	 adverb 
 действительно ; серьезно 	 vraiment 	 adverb 
 действительный 	 vrai 	 adjective 
 действовать 	 agir 	 verb 
 декабрь 	 décembre 	 time 
 декорация 	 ornement 	 object 
 делать 	 rendre 	 verb 
 деликатный ; щекотливый 	 délicat 	 adjective 
 дело 	 acte 	 abstract 
 дело 	 occupation 	 abstract 
 дело 	 oeuvre 	 abstract 
 дело ; труда ; работа 	 travail 	 business 
 демократия ; республика 	 république 	 society 
 день 	 journée 	 nature 
 день рождения 	 anniversaire 	 family 
 деньги 	 argent 	 business 
 деревня 	 village 	 society 
 деревня 	 village 	 society 
 дерево 	 arbre 	 house 
 дерево 	 bois 	 material 
 держать 	 tenir 	 verb 
 десять 	 dix 	 number 
 дешевый 	 économique 	 adjective 
 деятельность 	 activité 	 mathematics 
 диапазон 	 zone 	 abstract 
 директор 	 directeur 	 profession 
 дискутировать 	 discuter 	 verb 
 диспут ; прения ; беседа 	 argument 	 communication 
 дисциплина 	 discipline 	 linguistics 
 длинный 	 long 	 adjective 
 до 	 jusqu'à 	 conjunction 
 добро 	 bien 	 abstract 
 довольно 	 assez 	 adverb 
 довольно 	 suffisamment 	 adverb 
 дождить ; идёт дождь 	 pleuvoir 	 verb 
 дождь 	 pluie 	 nature 
 дождь 	 pluie 	 nature 
 доказать 	 prouver 	 verb 
 дом 	 maison 	 house 
 дом 	 maison 	 house 
 дополнение 	 composant additionnel 	 abstract 
 дорога ; путь 	 chemin 	 transport 
 дорогой ; дорогая 	 chérie 	 relations 
 доска 	 panneau 	 object 
 доставить 	 transporter 	 verb 
 достигать 	 réaliser 	 verb 
 достичь 	 arriver 	 verb 
 доступный 	 disponible 	 adjective 
 дочь 	 fille 	 family 
 драгоценность 	 bijou 	 object 
 драться 	 lutter 	 verb 
 дрессировать 	 former 	 verb 
 дрожание 	 frisson 	 abstract 
 друг 	 copain 	 family 
 другой 	 autre 	 adjective 
 другой 	 autre 	 adjective 
 другой 	 différent 	 adjective 
 дружеский 	 amical 	 adjective 
 дубинка 	 massue 	 object 
 думать 	 projeter 	 verb 
 думать 	 réfléchir 	 verb 
 душ 	 douche 	 house 
 дым 	 fumée 	 nature 
 дыра 	 trou 	 abstract 
 дыхание 	 souffle 	 anatomy 
 его 	 le 	 pronoun 
 его 	 sa 	 pronoun 
 его 	 sa 	 pronoun 
 единица 	 unité 	 mathematics 
 единочный 	 individuel 	 adjective 
 единственный 	 seul 	 adjective 
 если 	 si 	 conjunction 
 есть 	 manger 	 verb 
 её 	 son 	 pronoun 
 жаждущий 	 assoiffé 	 adjective 
 жалкий ; жалобный 	 pauvre 	 adjective 
 жара 	 chaleur 	 medicine 
 ждать 	 attendre 	 verb 
 ждать 	 attendre 	 verb 
 желание 	 souhait 	 abstract 
 железо 	 fer 	 material 
 желудок 	 estomac 	 anatomy 
 жена 	 femme 	 family 
 женатый 	 marié 	 adjective 
 жениться 	 épouser 	 verb 
