# French-Esperanto translations created from the Universal dictionary at 2011-05-28T05:46:29-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 existence 	 ekzistado 	 society 
 exister 	 ekzisti 	 verb 
 expert 	 lerta 	 adjective 
 expert 	 spertulo 	 profession 
 expliquer 	 ekspliki 	 verb 
 expérience 	 sperto 	 society 
 extérieur 	 eksterajxo 	 mathematics 
 facile 	 facila 	 adjective 
 facture 	 fakturo 	 business 
 facultatif 	 ajna 	 adjective 
 faculté 	 povo 	 abstract 
 faire 	 fari 	 verb 
 fait 	 fakto 	 abstract 
 famille 	 familio 	 family 
 famille 	 familio 	 family 
 fatigué 	 laca 	 adjective 
 faux 	 erara 	 adjective 
 faux 	 falsa 	 adjective 
 femme 	 edzino 	 family 
 femme 	 virino 	 family 
 femme 	 virino 	 society 
 fenêtre 	 fenestro 	 house 
 fer 	 fero 	 material 
 ferme 	 farmbieno 	 nature 
 ferme 	 firma 	 adjective 
 fermer 	 sxlosi 	 verb 
 fermé 	 fermita 	 adjective 
 feuille 	 folio 	 nature 
 fil 	 drato 	 object 
 filet 	 reto 	 material 
 fille 	 filino 	 family 
 fils 	 filo 	 family 
 fin 	 fino 	 abstract 
 financier 	 financa 	 adjective 
 fissure 	 fendeto 	 abstract 
 flamme 	 flamo 	 nature 
 fleur 	 floro 	 nature 
 fleuve 	 rivero 	 nature 
 foi 	 fido 	 society 
 fonction 	 funkcio 	 linguistics 
 fonction 	 funkcio 	 mathematics 
 fonctionnaire 	 oficisto 	 profession 
 fonctionnement 	 funkciado 	 mathematics 
 foncé 	 tenebra 	 adjective 
 fondamental 	 baza 	 adjective 
 football 	 piedpilko 	 sports 
 force 	 forto 	 abstract 
 force 	 forto 	 abstract 
 forme 	 formo 	 art 
 former 	 trejni 	 verb 
 formuler 	 esprimi 	 verb 
 fort 	 lauxta 	 adjective 
 forêt 	 arbaro 	 nature 
 fouet 	 vipo 	 object 
 four 	 kuirforno 	 device 
 fourchette 	 forko 	 food 
 fourmi 	 formiko 	 animal 
 fournir 	 liveri 	 verb 
 foyer 	 hejmo 	 house 
 fragile 	 fragila 	 adjective 
 frais 	 fresxa 	 adjective 
 frais 	 kosto 	 society 
 froid 	 malvarma 	 adjective 
 froid 	 malvarmo 	 nature 
 fromage 	 fromaĝo 	 food 
 front 	 frunto 	 anatomy 
 fructueux 	 sukcesa 	 adjective 
 fruit 	 frukto 	 food 
 fruit sec 	 nukso 	 food 
 frère 	 frato 	 family 
 fumer 	 fumi 	 verb 
 fumée 	 fumo 	 nature 
 fusil 	 pafilo 	 object 
 futur 	 estonteco 	 time 
 futur 	 venonta 	 adjective 
 féminin 	 ina 	 adjective 
 février 	 februaro 	 time 
 gagner 	 gajni 	 verb 
 gain 	 profito 	 business 
 garçon 	 knabo 	 family 
 gauche 	 lefta 	 adjective 
 genou 	 genuo 	 anatomy 
 gentil 	 afabla 	 adjective 
 gentil 	 beleta 	 adjective 
 glace 	 glacio 	 material 
 glace 	 glacio 	 nature 
 glapir 	 kriegi 	 verb 
 golf 	 golfo 	 travelling 
 gorge 	 gorgxo 	 anatomy 
 goutte 	 guto 	 object 
 gouvernement 	 regado 	 society 
 gouverner 	 regi 	 verb 
 goût 	 gusto 	 nature 
 goût 	 gustumi 	 verb 
 graine 	 spermo 	 food 
 grand 	 alta 	 adjective 
 grand 	 granda 	 adjective 
 grand 	 granda 	 adjective 
 gras 	 graso 	 material 
 gratuit 	 senpaga 	 adjective 
 grave 	 serioza 	 adjective 
 gris 	 grizo 	 adjective 
 gris 	 grizo 	 color 
 gros 	 dika 	 adjective 
 gros 	 grasa 	 adjective 
 grossier 	 kruda 	 adjective 
 groupe 	 grupo 	 abstract 
 guitare 	 gitaro 	 object 
 gâteau 	 kuko 	 food 
 gène 	 geno 	 anatomy 
 général 	 generalo 	 profession 
 général 	 gxenerala 	 adjective 
 généralement 	 ĝenerale 	 adverb 
 habile 	 inteligenta 	 adjective 
 habituel 	 regula 	 adjective 
 haine 	 malamo 	 relations 
 haut 	 supren 	 adverb 
 hauteur 	 alteco 	 abstract 
 herbe 	 herbo 	 nature 
 heure 	 horo 	 time 
 heureux 	 feliĉa 	 adjective 
 histoire 	 historio 	 society 
 hiver 	 vintro 	 nature 
 homme 	 homo 	 family 
 homme 	 homo 	 family 
 honorer 	 honori 	 verb 
 horloge 	 horlogxo 	 device 
 huile 	 oleo 	 material 
 huit 	 ok 	 number 
 huitieme 	 oka 	 number 
 humain 	 homa 	 adjective 
 humidité 	 humideco 	 nature 
 humour 	 humoro 	 communication 
 hôpital 	 malsanulejo 	 city 
 hôte 	 gasto 	 travelling 
 hôtel 	 hotelo 	 city 
 identifier 	 identigi 	 verb 
 ils 	 ili 	 pronoun 
 image 	 bildo 	 art 
 image 	 bildo 	 art 
 imiter 	 imiti 	 verb 
 immeuble 	 domo 	 city 
 immédiatement 	 momente 	 adverb 
 important 	 grava 	 adjective 
 important 	 signifoplena 	 adjective 
 imprimer 	 presi 	 verb 
 indigent 	 malricxa 	 adjective 
 indiquer 	 indiki 	 verb 
 individu 	 individuo 	 society 
 individuel 	 individua 	 adjective 
 industrie 	 industrio 	 society 
 industriel 	 industria 	 adjective 
 infirmière 	 flegistino 	 profession 
 information 	 informo 	 communication 
 insecte 	 insekto 	 animal 
