# French-English translations created from the Universal dictionary at 2011-05-28T05:46:15-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 chaleur 	 hotness ; heat ; high temperature 	 medicine 
 chaleureux 	 warm 	 adjective 
 chambre à coucher 	 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 house 
 championnat 	 championship ; title 	 sports 
 chanceux 	 lucky 	 adjective 
 changement 	 change ; alteration ; modification 	 abstract 
 changer 	 change ; alter ; modify 	 verb 
 chanson 	 song ; vocal 	 art 
 chanter 	 sing 	 verb 
 chanteur 	 singer ; vocalist ; vocalizer ; vocaliser 	 profession 
 chapeau 	 hat ; chapeau ; lid 	 clothes 
 charbon 	 coal 	 material 
 charge 	 charge ; electric charge 	 nature 
 charger 	 load ; charge 	 verb 
 chat 	 cat ; true cat 	 animal 
 chaud 	 hot 	 adjective 
 chauffer 	 warm 	 verb 
 chaussette 	 sock 	 clothes 
 chaussure 	 shoe 	 clothes 
 chaîne 	 chain 	 object 
 chef 	 head ; chief ; top dog 	 society 
 chef 	 leader 	 society 
 chemin 	 road ; route 	 transport 
 chemise 	 shirt 	 clothes 
 cheval 	 horse ; Equus caballus 	 animal 
 cheveux 	 hair 	 anatomy 
 cheveux 	 hair ; pilus 	 anatomy 
 chien 	 dog ; domestic dog ; Canis familiaris 	 animal 
 chimie 	 chemistry ; chemical science 	 science 
 chimique 	 chemical ; chemic 	 adjective 
 chimique 	 chemical ; chemical substance 	 material 
 chinois 	 Chinese 	 language 
 choc 	 daze ; shock ; stupor 	 abstract 
 chocolat 	 chocolate 	 food 
 choisir 	 choose ; take ; select ; pick out 	 verb 
 choquer 	 shock ; offend ; scandalize ; scandalise ; appal ; appall ; outrage 	 verb 
 chose 	 thing 	 object 
 chute 	 spill ; tumble ; fall 	 abstract 
 château 	 castle 	 city 
