# Esperanto-German translations created from the Universal dictionary at 2011-08-27T09:41:46-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 biologio 	 Biologie 	 science 
 birdo 	 Vogel 	 animal 
 blanka 	 weiß 	 adjective 
 blua 	 blau 	 color 
 boato 	 Boot 	 object 
 bobeni 	 aufspulen ; aufwickeln ; aufrollen 	 verb 
 bobeno 	 Rolle 	 object 
 boltingo 	 Schraubenmutter 	 object 
 bona 	 gut ; lieb 	 adjective 
 bone 	 gut 	 adverb 
 bonega 	 ausgezeichnet 	 adjective 
 bonŝanca 	 glücklich 	 adjective 
 bordo 	 Ufer 	 nature 
 botelo 	 Flasche 	 food 
 boto 	 Stiefel 	 clothes 
 bovino 	 Kuh 	 animal 
 brako 	 Arm 	 anatomy 
 brancxo 	 Ast 	 nature 
 bretaro 	 Regal 	 house 
 briko 	 Backstein ; Ziegel ; Ziegelstein 	 house 
 broso 	 Bürste 	 object 
 bruna 	 braun 	 color 
 bruo 	 Geräusch ; Lärm ; Geräusche 	 society 
 bruska 	 brüsk ; schroff 	 adjective 
 brusto 	 Brust 	 anatomy 
 brusto 	 Brust 	 anatomy 
 butero 	 Butter 	 food 
 butono 	 Knopf ; Taste 	 object 
 buŝo 	 Mund 	 anatomy 
 celo 	 Bestimmung 	 abstract 
 centra 	 zentral 	 adjective 
 centro 	 Mitte ; Mittelpunkt 	 mathematics 
 centro 	 Mitte ; Mittelpunkt ; Zentrum 	 mathematics 
 cerbo 	 Gehirn 	 anatomy 
 certa 	 gewiss ; sicher 	 adjective 
 certe 	 gewiss ; bestimmt ; sicher ; sicherlich 	 adverb 
 cirkla 	 kreisförmig ; kreisrund ; ringförmig 	 adjective 
 cxar 	 weil 	 conjunction 
 cxefo 	 Chef 	 society 
 cxeko 	 Scheck 	 business 
 cxelo 	 Zelle 	 society 
 cxevalo 	 Pferd ; Ross 	 animal 
 cxielo 	 Himmel 	 nature 
 cxio 	 alles 	 adjective 
 cxio 	 alles 	 pronoun 
 cxirkaux 	 rund um 	 adverb 
 cxirkauxajxo 	 Umgebung 	 nature 
 cxiu 	 alle ; jede ; jeder 	 adjective 
 cxiu 	 jede ; jeder ; jedes 	 adjective 
 cxu 	 ob 	 conjunction 
 damagxi 	 verletzen 	 verb 
 damagxo 	 Beschädigung ; Schaden 	 transport 
 danci 	 tanzen 	 verb 
 danki 	 danken 	 verb 
 danĝera 	 gefährlich 	 adjective 
 danĝero 	 Gefahr 	 abstract 
 dato 	 Datum 	 time 
 datumoj 	 Angaben 	 communication 
 dauxrigi 	 fortsetzen ; weitermachen 	 verb 
 de 	 aus 	 preposition 
 decembro 	 Dezember 	 time 
 decidi 	 entscheiden ; bestimmen 	 verb 
 decido 	 Beschluss ; Entscheidung ; Entschluss ; Schlussfolgerung 	 communication 
 defendo 	 Verteidigung ; Abwehr 	 abstract 
