# Russian-Esperanto translations created from the Universal dictionary at 2011-08-27T09:42:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 жидкий 	 likva 	 adjective 
 жидкость 	 likva 	 nature 
 жизнь 	 vivo 	 nature 
 жилище ; дом 	 hejmo 	 house 
 жир 	 graso 	 material 
 жирный 	 grasa 	 adjective 
 жить 	 vivi 	 verb 
 журнал 	 revuo 	 object 
 журналист ; газетный сотрудник 	 ĵurnalisto 	 profession 
 жёлтый 	 flava 	 color 
 жёсткий ; негнущийся 	 nefleksebla 	 adjective 
 заботиться 	 atenti 	 verb 
 забыть ; забывать 	 forgesi 	 verb 
 завести 	 konduki 	 verb 
 завещание 	 testamento 	 society 
 завод 	 fabriko 	 city 
 завод ; фабрика 	 fabriko 	 city 
 завтра 	 morgaŭ 	 adverb 
 завтрак 	 matenmangxo 	 food 
 загиб 	 falto 	 object 
 заглавная буква 	 majusklo 	 linguistics 
 заключать в себе ; охватывать 	 enhavi 	 verb 
 заключение ; решение 	 decido 	 communication 
 закон 	 leĝo 	 society 
 законный 	 leĝa 	 adjective 
 закончить ; докончить 	 fini 	 verb 
 закрывать 	 fermi 	 verb 
 закрытый 	 fermita 	 adjective 
 закрыть 	 envolvi 	 verb 
 замена 	 substituo 	 abstract 
 заместитель 	 reprezentanto 	 profession 
 заметка 	 noto 	 communication 
 замечательный 	 bonega 	 adjective 
 замкнуть 	 sxlosi 	 verb 
 замок 	 seruro 	 house 
 замок ; кремль 	 kastelo 	 city 
 замышлять 	 intenci 	 verb 
 занавеска 	 kurteno 	 house 
 занятие ; торговля 	 komerco 	 business 
 запад 	 okcidento 	 logistics 
 запах 	 odoro 	 nature 
 записать 	 registri 	 verb 
 запустить 	 neglekti 	 verb 
 заряд 	 sxargajxo 	 nature 
 зарядить 	 sxargxi 	 verb 
 звезда 	 astro 	 nature 
 звонить 	 alvoki 	 verb 
 звук 	 sono 	 abstract 
 звук 	 sono 	 nature 
 здание 	 domo 	 city 
 здоровый 	 salubra 	 adjective 
 здоровье 	 sano 	 abstract 
 здоровье 	 sano 	 medicine 
 зелёный 	 verda 	 color 
 земля 	 grundo 	 material 
 земля ; почва 	 grundo 	 nature 
 зеркало 	 spegulo 	 house 
 зерно ; семя 	 spermo 	 food 
 зима 	 vintro 	 nature 
 змея 	 serpento 	 animal 
 знак 	 karaktro 	 linguistics 
 знание 	 kognicio 	 education 
 знать 	 scii 	 verb 
 золото 	 oro 	 material 
 золотой ; золотистий 	 ora 	 color 
 зуб 	 dento 	 anatomy 
 и 	 kaj 	 conjunction 
 ибо 	 cxar 	 conjunction 
 иголка ; игла 	 kudrilo 	 medicine 
 игра 	 ludo 	 mathematics 
 игра 	 ludo 	 sports 
 играть 	 ludi 	 verb 
 игрок 	 ludanto 	 sports 
 идти 	 marsxi 	 verb 
 идёт снег 	 negxi 	 verb 
 извержение 	 eksplodo 	 abstract 
 изготовить 	 fabriki 	 verb 
 издать 	 publikigi 	 verb 
 изменить 	 ŝanĝi 	 verb 
 измерение 	 mezurado 	 art 
 изображение 	 bildo 	 art 
 изучать 	 studi 	 verb 
 или 	 aŭ 	 conjunction 
 иметь 	 havi 	 verb 
 имидж 	 bildo 	 art 
 имущество 	 havo 	 society 
 имя 	 nomo 	 linguistics 
 имя прилагательное 	 adjektivo 	 linguistics 
 индивидуум 	 individuo 	 society 
 иногда 	 fojfoje 	 adverb 
 иностранный 	 eksterlanda 	 adjective 
 инструмент ; орудие 	 instrumento 	 device 
 интерес 	 intereso 	 communication 
 интересный 	 interesa 	 adjective 
 интернет 	 interreto 	 mathematics 
 искренний 	 sincera 	 adjective 
 искривление ; кривизна ; изгиб 	 kurbo 	 mathematics 
 искусство 	 arto 	 art 
 искусство 	 lerteco 	 sports 
 использовать 	 uzi 	 verb 
 испытать 	 testi 	 verb 
 исследование 	 esploro 	 abstract 
 история 	 historio 	 society 
 источник 	 fonto 	 nature 
 источник 	 origino 	 transport 
 исходный ; оригинальный 	 origina 	 adjective 
 итог ; сумма 	 sumo 	 mathematics 
 их 	 ilia 	 pronoun 
 их 	 ilin 	 pronoun 
 июль 	 julio 	 time 
 июнь 	 junio 	 time 
 каждый 	 cxiu 	 adjective 
 каждый 	 cxiu 	 adjective 
 казаться 	 aspekti 	 verb 
 как 	 kiel 	 adverb 
 какой 	 kiu 	 pronoun 
 канат 	 ŝnuro 	 transport 
 капитал 	 kapitalo 	 business 
 капля 	 guto 	 object 
 карандаш 	 krajono 	 object 
 карта 	 mapo 	 object 
 картина 	 pentrado 	 art 
 картофелина 	 terpomo 	 food 
 карточка 	 karto 	 object 
 качать 	 pumpi 	 verb 
 качество 	 karaktero 	 abstract 
 качество 	 kvalito 	 abstract 
 кашель 	 tuso 	 medicine 
 кашлять 	 tusi 	 verb 
 квадрат 	 kvadrato 	 mathematics 
 квадратный 	 kvadrata 	 adjective 
 квартира 	 apartamento 	 society 
 келья 	 cxelo 	 society 
 кино ; кинотеатр 	 kino 	 city 
 кирпич 	 briko 	 house 
 кислота 	 acido 	 material 
 клавиша 	 klavo 	 object 
 класть 	 meti 	 verb 
 клеить 	 glui 	 verb 
 клей 	 gluo 	 material 
 клейкий 	 glueca 	 adjective 
 клуб 	 gildo 	 society 
 клюв 	 beko 	 anatomy 
 ключ 	 ŝlosilo 	 house 
 книга 	 libro 	 object 
 книзу ; вниз 	 malsupren 	 adverb 
 кнопка 	 butono 	 object 
 ковёр 	 tapiŝo 	 house 
 кого 	 kiu 	 pronoun 
 кожа 	 hauxto 	 anatomy 
 кожа 	 ledo 	 material 
 козёл ; коза 	 kapro 	 animal 
 колено 	 genuo 	 anatomy 
 колесо 	 rado 	 object 
 количество 	 nombro 	 abstract 
 количество ; число 	 nombro 	 linguistics 
 колодец 	 puto 	 object 
 колокол 	 sonorilo 	 object 
 кольцо 	 ringo 	 clothes 
 команда 	 teamo 	 society 
 комитет ; комиссия 	 komisiono 	 society 
 коммутатор 	 telefoncentralo 	 society 
 комната 	 ĉambro 	 house 
 комплект 	 kompleto 	 sports 
 комплектный 	 kompleta 	 adjective 
 компьютер 	 komputero 	 device 
 конверт 	 koverto 	 object 
 конец 	 fino 	 abstract 
 конечный 	 fina 	 adjective 
 конкуренция ; соревнование 	 konkurenco 	 business 
 консерва 	 ladskatolo 	 object 
 контракт 	 kontrakto 	 business 
 контролировать 	 komandi 	 verb 
 конфигурация, форма 	 formo 	 art 
 концерт 	 koncerto 	 art 
 кончать 	 fini 	 verb 
