# Esperanto-English translations created from the Universal dictionary at 2011-05-28T05:46:47-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 disciplino 	 discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 linguistics 
 diskuti 	 hash out ; discuss ; talk over 	 verb 
 diskuto 	 discussion ; give-and-take ; word 	 communication 
 dispremi 	 squash ; crush ; squelch ; mash ; squeeze 	 verb 
 disputi 	 argue ; contend ; debate ; fence 	 verb 
 disputo 	 controversy ; contention ; contestation ; disputation ; disceptation ; tilt ; argument ; arguing 	 mathematics 
 distanco 	 distance 	 mathematics 
 distraĵo 	 entertainment ; amusement 	 art 
 diversa 	 diverse ; various 	 adjective 
 diverseco 	 diverseness ; diversity ; multifariousness ; variety 	 art 
 divido 	 division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation 	 mathematics 
 divizio 	 part ; section ; division 	 mathematics 
 do 	 therefore ; hence ; thence ; thus ; so 	 adverb 
 doktoro 	 doctor ; doc ; physician ; MD ; Dr. ; medico 	 profession 
 dolcxa 	 sweet 	 adjective 
 doloro 	 pain ; hurting 	 medicine 
 dolĉeco 	 sweet ; sweetness ; sugariness 	 food 
 domo 	 building ; edifice 	 city 
 domo 	 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 house 
 domo 	 house 	 house 
 donaco 	 present 	 object 
 doni 	 give 	 verb 
 dormado 	 sleep ; slumber 	 nature 
 dormcxambro 	 bedroom ; sleeping room ; sleeping accommodation ; chamber ; bedchamber 	 house 
 dorso 	 back ; dorsum 	 anatomy 
 drato 	 wire 	 object 
 du 	 two ; 2 ; ii 	 number 
 dua 	 second ; 2nd ; 2d 	 adjective 
 dubi 	 doubt 	 verb 
 dubo 	 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 communication 
 dudek 	 twenty ; 20 ; xx 	 number 
 dum 	 during 	 preposition 
 duono 	 one-half ; half 	 mathematics 
 duŝo 	 shower 	 house 
 ebena 	 even ; fifty-fifty 	 adjective 
 ebenejo 	 plain ; field ; champaign 	 nature 
 eble 	 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 adverb 
 ecx 	 even 	 adverb 
 edukado 	 education 	 society 
 eduki 	 rear ; raise ; bring up ; nurture ; parent 	 verb 
 edzeco 	 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 society 
 edzigxi 	 marry ; get married ; wed ; conjoin ; hook up with ; get hitched with ; espouse 	 verb 
 edzinigxinta 	 married 	 adjective 
 edzino 	 wife ; married woman 	 family 
 edzo 	 husband ; hubby ; married man 	 family 
 efektiva 	 real ; existent 	 adjective 
 egala 	 equal 	 adjective 
 ekde 	 since 	 preposition 
 eklezio 	 church ; church building 	 city 
 ekonomia 	 economic 	 adjective 
 ekonomia 	 economic ; economical 	 adjective 
 ekonomio 	 economy ; economic system 	 business 
 ekspliki 	 explain ; explicate 	 verb 
 eksplodo 	 outburst ; burst ; flare-up 	 abstract 
 ekster 	 outside 	 adverb 
 eksterajxo 	 outside ; exterior 	 mathematics 
 eksterlanda 	 foreign ; strange 	 adjective 
 ekvilibro 	 balance 	 physics 
 ekzameno 	 examination ; exam ; test 	 communication 
 ekzemplo 	 example ; illustration ; instance ; representative 	 communication 
 ekzerci 	 practice ; practise ; exercise ; do 	 verb 
 ekzistado 	 being ; beingness ; existence 	 society 
 ekzisti 	 exist ; be 	 verb 
 elcento 	 percentage ; percent ; per centum ; pct 	 mathematics 
 elefanto 	 elephant 	 animal 
 eleganta 	 stylish ; fashionable 	 adjective 
 elekti 	 choose ; take ; select ; pick out 	 verb 
 elekto 	 choice ; selection ; option ; pick 	 abstract 
 elekto 	 election 	 mathematics 
 elektra 	 electric ; electrical 	 adjective 
 elemento 	 component ; constituent ; element ; factor ; ingredient 	 mathematics 
 elpreni 	 remove ; take ; take away ; withdraw 	 verb 
 elŝeligi 	 skin ; peel ; pare 	 verb 
 emigi 	 induce ; stimulate ; cause ; have ; get ; make 	 verb 
 en 	 in ; inwards ; inward 	 adverb 
 en 	 into 	 preposition 
 ene 	 inside ; within 	 adverb 
 energio 	 energy ; free energy 	 nature 
 enhavi 	 incorporate ; contain ; comprise 	 verb 
 eniri 	 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 verb 
 enspezo 	 income 	 business 
 envolvi 	 shroud ; enshroud ; hide ; cover 	 verb 
 epoko 	 historic period ; age 	 time 
 epoko 	 time period ; period of time ; period 	 time 
 erara 	 false ; mistaken 	 adjective 
 eraro 	 mistake ; error ; fault 	 communication 
 esenco 	 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 abstract 
 esperi 	 hope 	 verb 
 esplorado 	 inquiry ; enquiry ; research 	 abstract 
 esploro 	 research 	 abstract 
 esprimi 	 express ; state 	 verb 
 esti 	 be 	 verb 
 estinta 	 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 adjective 
 estonteco 	 future ; hereafter ; futurity ; time to come 	 time 
 estro 	 leader 	 society 
 eta 	 infinitesimal ; minute 	 adjective 
 eta 	 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 adjective 
