# Russian-German translations created from the Universal dictionary at 2011-08-27T09:42:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 губа 	 Lippe 	 anatomy 
 гуманный 	 human ; menschlich 	 adjective 
 густой 	 dicht ; dick 	 adjective 
 да 	 ja 	 abstract 
 давать 	 geben 	 verb 
 давать отпор ; противостоять 	 trotzen 	 verb 
 давление 	 Druck 	 nature 
 даже 	 sogar 	 adverb 
 дальше 	 weiter 	 adjective 
 далёкий 	 entfernt ; fern ; weit 	 adjective 
 данный ; установленный 	 gegeben ; angegeben 	 adjective 
 дата ; число 	 Datum 	 time 
 два 	 zwei 	 number 
 двадцать 	 zwantig 	 number 
 двенадцатый 	 zwölfte 	 number 
 дверь ; створка 	 Tür 	 house 
 двигатель 	 Motor 	 device 
 двигать 	 bewegen 	 verb 
 движение 	 Bewegung 	 physics 
 движение 	 Bewegung 	 physics 
 девочка ; поклонница 	 Freundin 	 family 
 девушка ; девочка 	 Fräulein ; Mädchen 	 family 
 девяносто 	 neunzig 	 number 
 девятнадцать 	 neunzehn 	 number 
 девятый 	 neunte 	 number 
 девять 	 neun 	 number 
 дедушка 	 Großvater ; Opa 	 family 
 действие 	 Betrieb 	 mathematics 
 действительно 	 tatsächlich ; wirklich 	 adverb 
 действительный 	 echt ; wahr 	 adjective 
 действовать 	 tun 	 verb 
 декабрь 	 Dezember 	 time 
 декорация 	 Verzierung 	 object 
 делать 	 machen ; tun 	 verb 
 деликатный ; щекотливый 	 zart ; zierlich 	 adjective 
 дело 	 Affäre ; Geschäft ; Sache 	 abstract 
 дело 	 Arbeit 	 abstract 
 дело 	 Tat 	 abstract 
 дело ; труда ; работа 	 Arbeit ; Aufgabe 	 business 
 демократия ; республика 	 Demokratie ; Republik 	 society 
 день 	 tag ; Tag 	 nature 
 день рождения 	 Geburtstag 	 family 
 деньги 	 Geld 	 business 
 деревня 	 Dorf 	 society 
 деревня 	 Dorf 	 society 
 дерево 	 Baum 	 house 
 дерево 	 Holz 	 material 
 держать 	 halten 	 verb 
 десятый 	 zehnte 	 number 
 десять 	 zehn 	 number 
 дешевый 	 billig 	 adjective 
 деятельность 	 Aktivität 	 mathematics 
