# Esperanto-French translations created from the Universal dictionary at 2011-05-28T05:47:00-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 estro 	 chef 	 society 
 eta 	 minuscule 	 adjective 
 eta 	 modeste 	 adjective 
 etagxo 	 étage 	 house 
 evento 	 événement 	 abstract 
 eventuala 	 possible 	 adjective 
 evidente 	 manifestement 	 adverb 
 eviti 	 éviter 	 verb 
 evolucii 	 développer 	 verb 
 evoluo 	 évolution 	 nature 
 eĝo 	 bord 	 mathematics 
 fabriki 	 produire 	 verb 
 fabriko 	 usine 	 city 
 fabriko 	 usine 	 city 
 facila 	 facile 	 adjective 
 fakto 	 fait 	 abstract 
 fakturo 	 facture 	 business 
 fali 	 tomber 	 verb 
 falo 	 chute 	 abstract 
 falsa 	 faux 	 adjective 
 falto 	 pli 	 object 
 familio 	 famille 	 family 
 familio 	 famille 	 family 
 farbo 	 peinture 	 art 
 fari 	 faire 	 verb 
 fari 	 rendre 	 verb 
 farmbieno 	 ferme 	 nature 
 faro 	 action 	 mathematics 
 fazo 	 étape 	 time 
 februaro 	 février 	 time 
 feliĉa 	 heureux 	 adjective 
 fendeto 	 fissure 	 abstract 
 fendi 	 diviser 	 verb 
 fenestro 	 fenêtre 	 house 
 fermi 	 clore 	 verb 
 fermita 	 fermé 	 adjective 
 fero 	 fer 	 material 
 festo 	 partie 	 society 
 fetori 	 sentir 	 verb 
 fido 	 foi 	 society 
 fiksita 	 déterminé 	 adjective 
 filino 	 fille 	 family 
 filmo 	 pellicule 	 art 
 filo 	 fils 	 family 
 fina 	 définitif 	 adjective 
 financa 	 financier 	 adjective 
 fingro 	 doigt 	 anatomy 
 fini 	 terminer 	 verb 
 fini 	 terminer 	 verb 
 fino 	 fin 	 abstract 
 firma 	 ferme 	 adjective 
 firmo 	 maison 	 business 
 fizika 	 physique 	 adjective 
 fizika 	 physique 	 adjective 
 fiŝo 	 poisson 	 animal 
 flago 	 drapeau 	 object 
 flamo 	 flamme 	 nature 
 flava 	 jaune 	 color 
 flegado 	 souci 	 abstract 
 flegistino 	 infirmière 	 profession 
 floro 	 fleur 	 nature 
 flugi 	 voler 	 verb 
 flugilo 	 aile 	 anatomy 
 flugo 	 vol 	 transport 
 fluo 	 courant 	 nature 
 fluo 	 courant 	 nature 
 fluo 	 courant 	 nature 
 fojfoje 	 parfois 	 adverb 
 folio 	 feuille 	 nature 
 fondi 	 établir 	 verb 
 fonto 	 source 	 nature 
 fora 	 loin 	 adjective 
 forgesi 	 oublier 	 verb 
 foriri 	 laisser 	 verb 
 forko 	 fourchette 	 food 
 formiko 	 fourmi 	 animal 
 formo 	 forme 	 art 
 formularo 	 questionnaire 	 society 
 forpermeso 	 congé 	 society 
 forto 	 force 	 abstract 
 forto 	 force 	 abstract 
 fotoaparato 	 caméra 	 object 
 fotografisto 	 photographe 	 profession 
 fragila 	 fragile 	 adjective 
 framo 	 cadre 	 object 
 frapo 	 coup 	 abstract 
 fratino 	 soeur 	 family 
 frato 	 frère 	 family 
 frauxlino 	 mademoiselle 	 family 
 frazo 	 phrase 	 linguistics 
 fresxa 	 frais 	 adjective 
 fresxdata 	 récent 	 adjective 
 fromaĝo 	 fromage 	 food 
 frue 	 prématuré 	 adjective 
 frue 	 tôt 	 adverb 
 frukto 	 fruit 	 food 
 frunto 	 front 	 anatomy 
 fumi 	 fumer 	 verb 
 fumo 	 fumée 	 nature 
 funkciado 	 fonctionnement 	 mathematics 
 funkcio 	 fonction 	 linguistics 
 funkcio 	 fonction 	 mathematics 
 gajni 	 arriver 	 verb 
 gajni 	 gagner 	 verb 
 garaĝo 	 dépôt 	 transport 
 gardo 	 sentinelle 	 profession 
 gasto 	 hôte 	 travelling 
 geedzigxo 	 mariage 	 family 
 generalo 	 général 	 profession 
 geno 	 gène 	 anatomy 
 genuo 	 genou 	 anatomy 
 gildo 	 club 	 society 
 gitaro 	 guitare 	 object 
 glacio 	 glace 	 material 
 glacio 	 glace 	 nature 
 glaso 	 verre 	 food 
 glata 	 lissé 	 adjective 
 glito 	 dérapage 	 abstract 
 glueca 	 collant 	 adjective 
 glui 	 coller 	 verb 
 gluo 	 colle 	 material 
 golfo 	 golf 	 travelling 
 golo 	 but 	 sports 
 gorgxo 	 gorge 	 anatomy 
 grado 	 degré 	 linguistics 
 grado 	 niveau 	 linguistics 
 granda 	 grand 	 adjective 
 granda 	 grand 	 adjective 
 grandeco 	 taille 	 physics 
 grasa 	 gros 	 adjective 
 graso 	 gras 	 material 
 grava 	 important 	 adjective 
 grizo 	 gris 	 adjective 
 grizo 	 gris 	 color 
 grundo 	 terre 	 material 
 grundo 	 terre 	 nature 
 grupo 	 compagnie 	 society 
 grupo 	 groupe 	 abstract 
 gusto 	 goût 	 nature 
 gustumi 	 goût 	 verb 
 guto 	 goutte 	 object 
 gxenerala 	 général 	 adjective 
 gxia 	 sa 	 pronoun 
 gxin 	 ça 	 pronoun 
 gxis 	 jusqu'à 	 conjunction 
 gxusta 	 correct 	 adjective 
 gxuste 	 exactement 	 adverb 
 haltigi 	 arrêter 	 verb 
 halto 	 arrêt 	 abstract 
 haro 	 cheveux 	 anatomy 
 haroj 	 cheveux 	 anatomy 
 hauxto 	 peau 	 anatomy 
 havebla 	 disponible 	 adjective 
 havi 	 avoir 	 verb 
 havi 	 avoir 	 verb 
 havo 	 propriété 	 society 
 hejmo 	 foyer 	 house 
 hela 	 clair 	 adjective 
 hela 	 clair 	 adjective 
 helpi 	 soulager 	 verb 
 helpo 	 aide 	 communication 
 herbo 	 herbe 	 nature 
 historio 	 histoire 	 society 
 hodiaŭ 	 aujourd'hui 	 adverb 
 homa 	 humain 	 adjective 
 homo 	 homme 	 family 
 homo 	 homme 	 family 
 honori 	 honorer 	 verb 
 horlogxo 	 horloge 	 device 
 horloĝo 	 montre 	 object 
 horo 	 heure 	 time 
 hotelo 	 hôtel 	 city 
 humideco 	 humidité 	 nature 
 humoro 	 humour 	 communication 
 hundo 	 chien 	 animal 
 iam 	 autrefois 	 adverb 
 identigi 	 identifier 	 verb 
 ili 	 ils 	 pronoun 
 ilia 	 leur 	 pronoun 
 ilin 	 les 	 pronoun 
 imiti 	 imiter 	 verb 
 impostigo 	 contribution 	 business 
 ina 	 féminin 	 adjective 
 indiki 	 indiquer 	 verb 
 individua 	 individuel 	 adjective 
 individuo 	 individu 	 society 
 industria 	 industriel 	 adjective 
 industrio 	 industrie 	 society 
 infaneto 	 bébé 	 family 
 infano 	 enfant 	 family 
 informo 	 information 	 communication 
 inkluzivi 	 comprendre 	 verb 
 inko 	 encre 	 material 
 insekto 	 insecte 	 animal 
 institucio 	 institution 	 society 
 instruado 	 enseignement 	 education 
 instrui 	 enseigner 	 verb 
 instruisto 	 maître 	 profession 
 instrumento 	 instrument 	 device 
 insulo 	 île 	 nature 
 inteligenta 	 habile 	 adjective 
 intenci 	 entendre 	 verb 
 inter 	 entre 	 preposition 
 interesa 	 intéressant 	 adjective 
 intereso 	 intérêt 	 communication 
 interezo 	 intérêt 	 business 
 interkonsento 	 arrangement 	 business 
 internacia 	 international 	 adjective 
 interreto 	 internet 	 mathematics 
 intervjuo 	 interview 	 communication 
 inĝenierarto 	 technologie 	 abstract 
 iri 	 aller 	 verb 
 iĝi 	 devenir 	 verb 
 jako 	 veste 	 clothes 
 jam 	 déjà 	 adverb 
 januaro 	 janvier 	 time 
 jarcento 	 siècle 	 time 
 jaro 	 année 	 time 
 jes 	 oui 	 abstract 
 julio 	 juillet 	 time 
 juna 	 jeune 	 adjective 
 junio 	 juin 	 time 
 jupo 	 jupe 	 clothes 
 juro 	 droit 	 society 
 juvelo 	 bijou 	 object 
 juĝisto 	 juge 	 profession 
 jxauxdo 	 jeudi 	 time 
 jxeti 	 jeter 	 verb 
 kafo 	 café 	 food 
 kaj 	 et 	 conjunction 
 kalkuli 	 compter 	 verb 
 kalkulilo 	 calculateur 	 device 
 kalkulo 	 compte 	 business 
 kampo 	 terrain 	 nature 
 kantisto 	 chanteur 	 profession 
 kanzono 	 chanson 	 art 
 kapabla 	 capable 	 adjective 
 kapitalo 	 capital 	 business 
 kapitulaci 	 abdiquer 	 verb 
 kapo 	 tête 	 anatomy 
 kapro 	 chèvre 	 animal 
 kapti 	 prendre 	 verb 
 karaktero 	 caractère 	 abstract 
 karaktro 	 caractère 	 linguistics 
 karbo 	 charbon 	 material 
 karbonhidrato 	 sucre 	 food 
 kardinala 	 central 	 adjective 
 karto 	 carte 	 object 
 kastelo 	 château 	 city 
 kato 	 chat 	 animal 
 kauxzo 	 cause 	 abstract 
 kemia 	 chimique 	 adjective 
 kemia elemento 	 élément chimique 	 material 
 kemiaĵo 	 chimique 	 material 
 kemio 	 chimie 	 science 
 kesteto 	 cageot 	 object 
 kesto 	 coffre 	 object 
 kial 	 pourquoi 	 adverb 
 kiel 	 comme 	 adverb 
 kies 	 de qui 	 pronoun 
 kiki 	 coup de pied 	 verb 
 kino 	 cinéma 	 city 
 kio 	 quoi 	 pronoun 
 kisi 	 baiser 	 verb 
 kiso 	 baiser 	 relations 
 kiu 	 que 	 pronoun 
 kiu 	 quel 	 pronoun 
 kiu 	 qui 	 pronoun 
 klabo 	 massue 	 object 
 klasi 	 classer 	 verb 
 klaso 	 classe 	 art 
 klavo 	 touche 	 object 
 kliento 	 commettant 	 business 
 klingo 	 voilure 	 object 
 knabo 	 garçon 	 family 
 kognicio 	 connaissance 	 education 
 kolo 	 cou 	 anatomy 
 koloro 	 teinte 	 art 
 koloroj 	 couleur 	 art 
 kolumo 	 col 	 clothes 
 komandi 	 contrôler 	 verb 
 komenciĝi 	 débuter 	 verb 
 komenco 	 début 	 abstract 
 komerco 	 affaire 	 business 
 komisiono 	 conseil 	 society 
 kompari 	 comparer 	 verb 
 komparo 	 confrontation 	 abstract 
 kompleta 	 complet 	 adjective 
 kompleto 	 collection 	 sports 
 kompleto 	 série 	 mathematics 
 kompreni 	 comprendre 	 verb 
 kompreni 	 saisir 	 verb 
 komputero 	 ordinateur 	 device 
 komuna 	 commun 	 adjective 
 komunumo 	 communauté 	 society 
 koncedi 	 accepter 	 verb 
 koncerto 	 concert 	 art 
 koncilio 	 conseil 	 society 
 kondimenti 	 relever 	 verb 
 kondiĉo 	 condition 	 abstract 
 kondukado 	 direction 	 society 
 konduki 	 conduire 	 verb 
 konduti 	 procéder 	 verb 
 konduto 	 conduite 	 abstract 
 konkurado 	 concurrence 	 society 
 konkuranto 	 concurrent 	 business 
 konkurenco 	 concurrence 	 business 
 konscia 	 conscient 	 adjective 
 konsekvenco 	 conséquence 	 medicine 
 konsenti 	 être d'accord 	 verb 
 konservi 	 tenir 	 verb 
 konsideri 	 considérer 	 verb 
 konsilo 	 conseil 	 communication 
 konstruado 	 construction 	 house 
 konstrui 	 bâtir 	 verb 
 kontrakto 	 contrat 	 business 
 kontraux 	 contre 	 preposition 
 kontrauxa 	 opposé 	 adjective 
 kopii 	 copier 	 verb 
 kopio 	 copie 	 object 
 koramikino 	 copine 	 family 
 korbo 	 panier 	 object 
 korespondi 	 aller 	 verb 
 koro 	 coeur 	 anatomy 
 kosmo 	 espace 	 mathematics 
 kosto 	 frais 	 society 
 kosto 	 prix 	 business 
 kostumo 	 mise 	 clothes 
 kotono 	 coton 	 material 
 koverto 	 enveloppe 	 object 
 kovrilo 	 couvercle 	 object 
 krajono 	 crayon 	 object 
 kravato 	 cravate 	 clothes 
 kredi 	 croire 	 verb 
 kreski 	 augmenter 	 verb 
 kreski 	 croître 	 verb 
 kresko 	 agrandissement 	 abstract 
 kriegi 	 glapir 	 verb 
 krimo 	 délit 	 society 
 kriterio 	 critère 	 communication 
 krocxilo 	 agrafe 	 object 
 kruda 	 approximatif 	 adjective 
 kruda 	 grossier 	 adjective 
 kruro 	 jambe 	 anatomy 
 kudri 	 coudre 	 verb 
 kudrilo 	 aiguille 	 medicine 
 kuiradi 	 cuisiner 	 verb 
 kuirejo 	 cuisine 	 house 
 kuirforno 	 four 	 device 
 kuiri 	 cuisiner 	 verb 
 kuiristo 	 cuisinier 	 profession 
 kuko 	 gâteau 	 food 
 kulero 	 cuiller 	 food 
 kulturo 	 culture 	 society 
 kun 	 avec 	 preposition 
 kune 	 ensemble 	 adverb 
 kunligi 	 joindre 	 verb 
 kuracado 	 traitement 	 abstract 
 kuranta 	 actuel 	 adjective 
 kuraĝigi 	 animer 	 verb 
 kurbo 	 arc 	 art 
 kurbo 	 courbure 	 mathematics 
 kuri 	 courir 	 verb 
 kurso 	 cours 	 education 
 kurta 	 court 	 adjective 
 kurteno 	 rideau 	 house 
 kusxi 	 reposer 	 verb 
 kutime 	 normalement 	 adverb 
 kvadrata 	 carré 	 adjective 
 kvadrato 	 carré 	 mathematics 
 kvadrato 	 carré 	 mathematics 
